Altium Designer Pick and Place Locations
D:\Embedded system\all project\BUET TEMP MONITORING\PCB\BTM_MAIN_UNIT\BTM_MAIN_UNIT\Project Outputs for BTM_MAIN_UNIT\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       09/01/25
Time:       16:09
Revision:   b6b7afa73c8c764b189682fa744721d822a7bf78
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                              
U34        TPS22917DBVR              TopLayer    SOT95P280X145-6N                 2469.591      1310.055      0        "5.5-V, 2-A, 80-mÎ© , 10-nA leakage load switch adj. rise time and adj output discharge"                                                                                 
R83        10kO                      TopLayer    R0402                            2331.177      1305.941      270      "62.5mW Thick Film Resistors 50V ±100ppm/? ±5% 10kO 0402 Chip Resistor - Surface Mount ROHS"                                                                             
C111       0.1uF,50V,10%             TopLayer    C0603                            2593.142      1312.504      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                                             
USB1       "TYPE-C 16PIN 2MD(073)"   TopLayer    TYPE-C_16PIN_2MD(073)            3690.366      3395.968      180      "5A 1 Surface Mount 16P Female -25?~+85? Type-C SMD USB Connectors ROHS"                                                                                                 
C31        2.2uF,25V,10%             TopLayer    C0805                            1305.713      2626.501      270      "CAP CER 2.2UF 25V X7R 10% 0805"                                                                                                                                         
R110       13.3K                     TopLayer    R0603                            1616.768      2629.314      90       "13.3 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"                                                                             
R82        118kO                     TopLayer    R0603                            1381.571      2629.314      270      "100mW Thick Film Resistors 75V ±100ppm/? ±1% 118kO 0603 Chip Resistor - Surface Mount ROHS"                                                                             
R75        118kO                     TopLayer    R0603                            1679.512      2629.314      90       "100mW Thick Film Resistors 75V ±100ppm/? ±1% 118kO 0603 Chip Resistor - Surface Mount ROHS"                                                                             
L6         10uH                      TopLayer    inductor_SMD,5.2x5.4mm           1460.758      2427.839      0        "3.2A 10uH Integrated molded inductor ±20% 3.5A SMD,5.2x5.4mm Power Inductors ROHS"                                                                                      
D2         CRS08TE85L,Q,M            TopLayer    S-FLAT_TOS                       1653.976      2420.823      90       "DIODE SCHOTTKY 30V 1.5A S-FLAT"                                                                                                                                         
C110       "0.022 µF"                TopLayer    C0603                            1744.929      2631.508      270      "0.022 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                             
C109       4.7uF                     TopLayer    C1206                            1814.748      2412.957      90       "4.7 µF ±10% 50V Ceramic Capacitor X7R 1210 (3225 Metric)"                                                                                                               
C108       220pF                     TopLayer    C0603                            1734.445      2438.882      90       "220 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"                                                                                                           
B1         LMR64010XMFX_NOPB         TopLayer    SOT95P280X145-5N                 1499.815      2624.095      180      "SIMPLE SWITCHER 2.7V to 14V, 1A Step-Up Regulator in SOT-23 Package"                                                                                                    
U10        TPS63001DRCR              TopLayer    VREG_V62/16624-01YE              1468.996      1954.925      270      "96% Buck-Boost Converter with 1.7A Current Switches, 3.3V fixed Output voltage in 3x3 QFN 10-VSON -40 to 85"                                                            
U28        SE5218ALG-LF              TopLayer    SOT-23-5                         2286.867      3119.249      0        "75dB 500mA Adjustable 3.3V Positive electrode 5V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"                                              
D7         1N5819HW-7-F              TopLayer    SOD3715X145N                     1634.476      2135.012      270      "Diode Schottky 40 V 1A Surface Mount SOD-123"                                                                                                                           
D3         1N5819HW-7-F              TopLayer    SOD3715X145N                     2013.567      3094.543      0        "Diode Schottky 40 V 1A Surface Mount SOD-123"                                                                                                                           
C101       2.2uF,6.3V,10%            TopLayer    C0603                            2165.918      3118.525      90       "CAP CER 2.2UF 6.3V X7R 0603"                                                                                                                                            
C100       2.2uF,6.3V,10%            TopLayer    C0603                            2425.248      3117.595      90       "CAP CER 2.2UF 6.3V X7R 0603"                                                                                                                                            
Q1         AO3400A                   TopLayer    SOT95P280X125-3N                 4691.319      805.807       270      "MOSFET N-CH 30V 5.7A SOT23-3L"                                                                                                                                          
Q2         AO3400A                   TopLayer    SOT95P280X125-3N                 4865.154      805.807       270      "MOSFET N-CH 30V 5.7A SOT23-3L"                                                                                                                                          
R55        1K                        TopLayer    R0603                            4279.842      1230.492      90       "100mW Thick Film Resistors 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"                                                                               
R56        1K                        TopLayer    R0603                            4014.331      1233.968      90       "100mW Thick Film Resistors 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"                                                                               
R57        1K                        TopLayer    R0603                            4013.071      684.039       270      "100mW Thick Film Resistors 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"                                                                               
R58        1K                        TopLayer    R0603                            4277.902      684.039       270      "100mW Thick Film Resistors 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"                                                                               
R72        1K                        TopLayer    R0603                            4871.698      982.831       0        "100mW Thick Film Resistors 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"                                                                               
R73        1K                        TopLayer    R0603                            4697.847      983.145       0        "100mW Thick Film Resistors 75V ±100ppm/? ±1% 1kO 0603 Chip Resistor - Surface Mount ROHS"                                                                               
R74        100K                      TopLayer    R0603                            4871.353      922.831       0        "100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 100kO 0603 Chip Resistor - Surface Mount ROHS"                                                                  
U7         PC817X3NSZ9F              TopLayer    DIP-4                            4064.933      963.925       0        "Optoisolator Transistor Output 5000Vrms 1 Channel 4-DIP"                                                                                                                
U8         PC817X3NSZ9F              TopLayer    DIP-4                            4330.087      966.626       0        "Optoisolator Transistor Output 5000Vrms 1 Channel 4-DIP"                                                                                                                
U9         "DBT50G-6.35-6P-BK-P OGC" TopLayer    6P_P=6.35mm                      986.972       393.024       0        "10A -40?~+105? 300V Black 1x6P Corner Tri-face 22~16 6 1 6.35mm Plugin,P=6.35mm Barrier Terminal Blocks ROHS"                                                           
J3         1-1734742-8               TopLayer    FPC_SMD_18P_P0.5_vertical        2912.252      2401.602      180      "18 Position FFC, FPC Connector Contacts, Vertical - 1 Sided 0.020" (0.50mm) Surface Mount"                                                                              
D4         CUS10S30,H3F              TopLayer    SOD-323                          2555.791      2183.354      90       "Diode 30 V 1A Schottky Barrier Diodes Surface Mount USC"                                                                                                                
U33        TPS22917DBVR              TopLayer    SOT95P280X145-6N                 2701.839      2810.402      180      "5.5-V, 2-A, 80-mÎ© , 10-nA leakage load switch adj. rise time and adj output discharge"                                                                                 
R102       10kO                      TopLayer    R0402                            2812.291      2821.122      90       "62.5mW Thick Film Resistors 50V ±100ppm/? ±5% 10kO 0402 Chip Resistor - Surface Mount ROHS"                                                                             
C107       0.1uF,50V,10%             TopLayer    C0603                            2583.142      2801.610      270      "CAP CER 0.1UF 50V X7R 0603"                                                                                                                                             
U25        MAX17048G+T10             TopLayer    21-0168E_T822-3_MXM              1940.110      2175.228      0        "No Description Available"                                                                                                                                               
C85        0.1uF,50V,10%             TopLayer    C0603                            1819.260      2173.969      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                                             
U20        STM32F446RET6             TopLayer    QFP50P1200X1200X160-64N          2890.181      1805.488      0        "IC MCU 32BIT 512KB FLASH 64LQFP"                                                                                                                                        
U31        Megastar'                 TopLayer    HDR-TH_10P-P2.54-V-M-R2-C5-S2.54 2267.150      2418.244      180      "Gold 1kV 3A Direct Insert Policy 2.5mm 10P 6mm -40?~+105? 3mm 2.54mm Brass Double Row Black 2.54mm 2x5P Plugin,P=2.54mm Pin Headers ROHS"                               
U19        "DBT50G-6.35-6P-BK-P OGC" TopLayer    6P_P=6.35mm                      4128.692      393.024       0        "10A -40?~+105? 300V Black 1x6P Corner Tri-face 22~16 6 1 6.35mm Plugin,P=6.35mm Barrier Terminal Blocks ROHS"                                                           
